sector,week_end_date,weekly_avg_close,revenue_ttm,eps_ttm,fcf_ttm,net_income_ttm,rev_qoq,rev_yoy,eps_qoq,eps_yoy,market_cap,pe_ttm,ps_ttm,fcf_yield_ttm,ret_1w,ret_4w,ret_12w,sma_4w,sma_12w,sma_24w,price_vs_sma_4w,price_vs_sma_12w,price_vs_sma_24w,Gross Margin %,Operating Income %,Net Profit %
Healthcare,2024-11-29,135,6510000000.0,4.43,3375000000.0,1289000000.0,0.0759,,0.268,,38516687164.3066,30.5071,5.9165,0.0876,0.0527,0.0299,-0.0124,132.9983,136.5725,135.1615,0.0162,-0.0104,-0.0001,0.5391,0.2399,0.2063
Healthcare,2024-12-06,138,6510000000.0,4.43,3375000000.0,1289000000.0,0.0759,,0.268,,39438170059.2041,31.2369,6.0581,0.0856,0.0239,0.0048,0.0147,133.165,136.7392,135.4418,0.0392,0.012,0.0217,0.5391,0.2399,0.2063
Healthcare,2024-12-13,140,6510000000.0,4.43,3375000000.0,1289000000.0,0.0759,,0.268,,39976443283.0811,31.6633,6.1408,0.0844,0.0136,0.0727,0.015,135.5422,136.9116,135.8222,0.0349,0.0245,0.0327,0.5391,0.2399,0.2063
Healthcare,2024-12-20,134,6510000000.0,4.43,3375000000.0,1289000000.0,0.0759,,0.268,,38156377166.748,30.2217,5.8612,0.0885,-0.0455,0.0429,-0.0559,136.919,136.2516,136.1862,-0.0222,-0.0174,-0.0169,0.5391,0.2399,0.2063
Healthcare,2024-12-27,134,6510000000.0,4.43,3375000000.0,1289000000.0,0.0759,,0.268,,38311725997.9248,30.3447,5.8851,0.0881,0.0041,-0.0053,-0.0729,136.7392,135.3708,136.4921,-0.0169,-0.007,-0.0151,0.5391,0.2399,0.2063
Healthcare,2025-01-03,134,6510000000.0,4.43,3375000000.0,1289000000.0,0.0759,,0.268,,38068294658.6609,30.1519,5.8477,0.0887,-0.0064,-0.0347,-0.0647,135.5376,134.6007,136.5749,-0.0145,-0.0076,-0.022,0.5391,0.2399,0.2063
Healthcare,2025-01-10,136,6510000000.0,4.43,3375000000.0,1289000000.0,0.0759,,0.268,,38824376792.9077,30.7508,5.9638,0.0869,0.0199,-0.0288,-0.0249,134.527,134.3108,136.717,0.0126,0.0143,-0.0036,0.5391,0.2399,0.2063
Healthcare,2025-01-17,143,6510000000.0,4.43,3375000000.0,1289000000.0,0.0759,,0.268,,40767468750.0,32.2898,6.2623,0.0828,0.05,0.0684,0.0857,136.8174,135.2514,136.8985,0.0455,0.0576,0.0449,0.5391,0.2399,0.2063
Healthcare,2025-01-24,151,6510000000.0,4.43,3375000000.0,1289000000.0,0.0759,,0.268,,43125923767.0898,34.1578,6.6246,0.0783,0.0579,0.1257,0.1531,141.0404,136.926,137.6031,0.0729,0.1051,0.0997,0.5391,0.2399,0.2063
Healthcare,2025-01-31,149,6530000000.0,4.36,3314000000.0,1259000000.0,-0.0118,0.012,-0.0976,-0.0593,42856130484.0088,34.2487,6.563,0.0773,-0.0132,0.1179,0.0843,144.9783,137.8936,138.1387,0.03,0.0829,0.081,0.5348,0.232,0.1892
